tanggal,maskapai,nomor_penerbangan,cabang,area,kategori,uraian_kejadian,akar_masalah,subkategori,status
2026-04-20,GA,GA457,SUB,Airside,Passenger,Penumpang ditolak boarding karena dokumen perjalanan tidak lengkap atau tidak valid. Petugas yang bertugas langsung melaporkan ke supervisor shift.,External Factor,Deportee Handling,OPEN
2026-04-20,IN,IN596,PLM,Terminal 1,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian.,External Factor,Denied Boarding,RESOLVED
2026-04-20,ID,ID174,UPG,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku.,External Factor,WCHR Request,RESOLVED
2026-04-20,SJ,SJ132,KNO,Terminal 3,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan. Kejadian terjadi pada pukul 08:15 WIB.,Human Error,Incorrect Boarding Pass,CLOSED
2026-04-21,JT,JT923,PLM,Terminal 3,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara. Kejadian terjadi pada pukul 22:15 WIB.,External Factor,WCHR Request,CLOSED
2026-04-24,SJ,SJ214,SUB,Terminal 1,Documentation,Terdapat selisih data berat muatan antara load sheet dan data aktual di bagasi hold.,Communication Failure,No-Show Record,PENDING
2026-04-24,JT,JT280,CGK,Terminal 2,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda. Kejadian terjadi pada pukul 06:15 WIB.,External Factor,GPU Failure,RESOLVED
2026-04-24,IN,IN333,PKU,Apron,Documentation,Boarding pass diterbitkan dengan gate yang salah sehingga menyebabkan kebingungan penumpang.,Training Gap,Missing Manifest,CLOSED
2026-04-24,IN,IN109,SOC,Landside,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Communication Failure,Missing Manifest,PENDING
2026-04-26,SJ,SJ646,UPG,Apron,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan.,Procedure Non-Compliance,DCS Error,RESOLVED
2026-04-28,QG,QG373,CGK,Terminal 2,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di CGK. Kejadian terjadi pada pukul 08:45 WIB.",Communication Failure,Delayed Baggage,CLOSED
2026-04-28,IN,IN567,SUB,Terminal 3,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak. Kejadian terjadi pada pukul 18:15 WIB.,Equipment Malfunction,Catering Truck Delay,OPEN
2026-04-28,GA,GA698,UPG,Terminal 1,Passenger,Permintaan kursi roda untuk penumpang berkebutuhan khusus tidak tertangani sesuai SOP. Petugas yang bertugas langsung melaporkan ke supervisor shift.,External Factor,WCHR Request,CLOSED
2026-04-28,ID,ID240,BPN,Landside,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di BPN.",Incorrect Tag,Lost & Found,OPEN
2026-04-30,IW,IW806,UPG,Terminal 3,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di UPG.",Incorrect Tag,Delayed Baggage,RESOLVED
2026-05-01,QG,QG621,SUB,Apron,Passenger,Permintaan kursi roda untuk penumpang berkebutuhan khusus tidak tertangani sesuai SOP.,Human Error,Denied Boarding,RESOLVED
2026-05-02,IN,IN871,PKU,Apron,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan IN871.,Human Error,Misrouted Baggage,CLOSED
2026-05-03,IN,IN110,UPG,Airside,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Human Error,Wing Clearance,CLOSED
2026-05-04,SJ,SJ305,DPS,Terminal 1,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,Human Error,No-Show Record,CLOSED
2026-05-05,GA,GA396,CGK,Landside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",Conveyor Belt Malfunction,Damaged Baggage,PENDING
2026-05-05,GA,GA354,CGK,Airside,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Training Gap,Spill/Leak,CLOSED
2026-05-07,ID,ID419,SOC,Terminal 2,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Human Error,GPU Failure,PENDING
2026-05-08,IW,IW846,UPG,Terminal 1,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",Communication Failure,Misrouted Baggage,PENDING
2026-05-09,SJ,SJ552,SUB,Terminal 1,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung.,External Factor,Spill/Leak,CLOSED
2026-05-11,GA,GA909,BPN,Apron,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,High Volume,Excess Baggage,CLOSED
2026-05-12,IW,IW636,MDC,Airside,Baggage,Penumpang melaporkan koper tidak ditemukan di belt bagasi setelah penerbangan IW636.,Conveyor Belt Malfunction,Excess Baggage,PENDING
2026-05-13,GA,GA483,CGK,Apron,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin.,Human Error,FOD Found,CLOSED
2026-05-15,IN,IN588,KNO,Landside,Equipment,Catering truck terlambat tiba di pesawat sehingga menyebabkan keterlambatan keberangkatan. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,Procedure Non-Compliance,GPU Failure,OPEN
2026-05-17,SJ,SJ242,SUB,Terminal 1,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di SUB.",Conveyor Belt Malfunction,Delayed Baggage,RESOLVED
2026-05-18,ID,ID730,PKU,Terminal 1,Baggage,"Bagasi penumpang ditemukan rusak, handle patah dan zipper terbuka saat tiba di PKU.",Communication Failure,Excess Baggage,CLOSED
2026-05-18,IN,IN677,SUB,Airside,Passenger,Penumpang bersikap tidak kooperatif dan menolak mengikuti prosedur keamanan bandara.,External Factor,Deportee Handling,OPEN
2026-05-19,JT,JT579,SOC,Terminal 1,Passenger,Penumpang terlambat check-in melewati batas waktu yang ditentukan dan meminta pengecualian.,Human Error,WCHR Request,CLOSED
2026-05-19,GA,GA889,SOC,Landside,Equipment,"Belt loader mengalami malfungsi di tengah proses loading bagasi, memperlambat keberangkatan. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.",Equipment Malfunction,GPU Failure,CLOSED
2026-05-19,ID,ID619,UPG,Landside,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,High Volume,Lost & Found,CLOSED
2026-05-21,SJ,SJ246,MDC,Airside,Baggage,Penumpang membawa bagasi melebihi batas yang diizinkan tanpa deklarasi sebelumnya.,Communication Failure,Excess Baggage,PENDING
2026-05-21,QG,QG893,DPS,Terminal 3,Ramp,Clearance sayap pesawat terlalu dekat dengan garbarata saat proses docking berlangsung. Petugas yang bertugas langsung melaporkan ke supervisor shift.,External Factor,Equipment Damage,CLOSED
2026-05-21,GA,GA306,MDC,Landside,Equipment,Pushback tractor mengalami kerusakan mendadak sehingga proses pushback terpaksa ditunda.,External Factor,Belt Loader Issue,CLOSED
2026-05-22,ID,ID175,PLM,Terminal 3,Baggage,Penumpang membawa bagasi melebihi batas yang diizinkan tanpa deklarasi sebelumnya. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Communication Failure,Lost & Found,CLOSED
2026-05-27,IW,IW734,DPS,Terminal 2,Baggage,Penumpang membawa bagasi melebihi batas yang diizinkan tanpa deklarasi sebelumnya.,High Volume,Lost & Found,RESOLVED
2026-05-28,JT,JT964,KNO,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku.,Communication Failure,Special Assistance,OPEN
2026-05-29,GA,GA506,KNO,Landside,Baggage,Penumpang membawa bagasi melebihi batas yang diizinkan tanpa deklarasi sebelumnya.,High Volume,Delayed Baggage,RESOLVED
2026-05-29,ID,ID607,PLM,Terminal 3,Documentation,Manifest penumpang tidak lengkap saat diserahkan ke pihak kru sebelum keberangkatan.,Training Gap,Incorrect Boarding Pass,OPEN
2026-06-02,JT,JT476,PLM,Landside,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in. Kejadian terjadi pada pukul 12:45 WIB.,Incorrect Tag,Lost & Found,OPEN
2026-06-02,QG,QG472,UPG,Landside,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Communication Failure,Unruly Passenger,CLOSED
2026-06-04,QG,QG896,PKU,Terminal 1,Baggage,Penumpang membawa bagasi melebihi batas yang diizinkan tanpa deklarasi sebelumnya. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Communication Failure,Lost & Found,PENDING
2026-06-04,IW,IW727,PLM,Landside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih.",Conveyor Belt Malfunction,Misrouted Baggage,PENDING
2026-06-05,ID,ID153,UPG,Terminal 1,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,Procedure Non-Compliance,No-Show Record,CLOSED
2026-06-06,SJ,SJ568,MDC,Airside,Baggage,"Bagasi terlambat tiba, ketinggalan penerbangan sebelumnya akibat kapasitas berlebih. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.",Conveyor Belt Malfunction,Excess Baggage,PENDING
2026-06-06,SJ,SJ251,PLM,Landside,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Incorrect Tag,Lost & Found,OPEN
2026-06-07,ID,ID356,BPN,Terminal 3,Ramp,Ditemukan benda asing (FOD) berupa baut logam di area apron sebelum pushback pesawat ID356. Petugas yang bertugas langsung melaporkan ke supervisor shift.,Human Error,Wing Clearance,CLOSED
2026-06-07,SJ,SJ732,KNO,Airside,Ramp,Tumpahan bahan bakar avtur terdeteksi di area apron setelah proses refueling selesai.,Training Gap,Equipment Damage,RESOLVED
2026-06-09,ID,ID952,CGK,Terminal 2,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Petugas yang bertugas langsung melaporkan ke supervisor shift.,System Error,Unruly Passenger,PENDING
2026-06-09,IW,IW441,SUB,Terminal 1,Ramp,Terjadi benturan antara Ground Support Equipment (GSE) dan fuselage pesawat saat parking.,Human Error,Unauthorized Access,CLOSED
2026-06-10,SJ,SJ991,UPG,Airside,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay.",Procedure Non-Compliance,Pushback Delay,RESOLVED
2026-06-10,SJ,SJ790,DPS,Apron,Baggage,Bagasi dikirim ke kota yang salah akibat kesalahan penempelan tag di counter check-in.,Incorrect Tag,Delayed Baggage,CLOSED
2026-06-11,QG,QG528,PLM,Apron,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Kejadian terjadi pada pukul 09:30 WIB.,Procedure Non-Compliance,Incorrect Boarding Pass,CLOSED
2026-06-11,JT,JT460,SUB,Terminal 2,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,Human Error,Weight & Balance Error,CLOSED
2026-06-12,IW,IW379,PKU,Terminal 3,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.,System Error,Denied Boarding,CLOSED
2026-06-14,IW,IW401,PKU,Landside,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Kejadian terjadi pada pukul 18:00 WIB.,Procedure Non-Compliance,Incorrect Boarding Pass,CLOSED
2026-06-15,QG,QG348,BPN,Apron,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Kejadian terjadi pada pukul 11:00 WIB.,System Error,Deportee Handling,CLOSED
2026-06-15,GA,GA816,BPN,Apron,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin.,Training Gap,Unauthorized Access,PENDING
2026-06-15,QG,QG437,MDC,Airside,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Communication Failure,DCS Error,OPEN
2026-06-16,IW,IW296,UPG,Terminal 2,Equipment,Garbarata tidak dapat bergerak normal saat proses docking akibat kerusakan motor penggerak.,Human Error,Airbridge Malfunction,RESOLVED
2026-06-16,QG,QG428,SUB,Terminal 3,Ramp,Petugas tidak berkepentingan terdeteksi memasuki area restricted ramp tanpa izin.,Training Gap,Equipment Damage,OPEN
2026-06-20,IW,IW344,UPG,Airside,Documentation,Penumpang no-show tidak tercatat dengan benar sehingga bagasi tidak di-offload tepat waktu. Tindakan awal telah dilakukan sesuai prosedur standar operasional yang berlaku.,Human Error,Incorrect Boarding Pass,PENDING
2026-06-21,QG,QG818,DPS,Airside,Passenger,Penumpang deportasi memerlukan penanganan khusus sesuai prosedur imigrasi yang berlaku. Petugas yang bertugas langsung melaporkan ke supervisor shift.,External Factor,Deportee Handling,CLOSED
2026-06-21,JT,JT559,DPS,Landside,Documentation,Boarding pass diterbitkan dengan gate yang salah sehingga menyebabkan kebingungan penumpang.,Communication Failure,Incorrect Boarding Pass,CLOSED
2026-06-24,IN,IN195,BPN,Terminal 2,Documentation,Terjadi kesalahan input data penumpang pada sistem DCS sehingga boarding pass tidak valid.,Training Gap,Incorrect Boarding Pass,PENDING
2026-06-24,SJ,SJ878,UPG,Terminal 3,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay. Petugas yang bertugas langsung melaporkan ke supervisor shift.",External Factor,GPU Failure,RESOLVED
2026-06-25,JT,JT499,SOC,Landside,Equipment,"GPU tidak berfungsi saat dibutuhkan untuk power pesawat sebelum APU start, menyebabkan delay. Dokumentasi telah disiapkan untuk proses investigasi lebih lanjut.",External Factor,Pushback Delay,PENDING
